                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.526,                0.47402,                0.98358,                0.87319,                0.87388,                0.92604,                0.56544,                 1.4642,                 0.7208,                 1.5161,               0.006634,               0.006634,               0.006634
                     37,                0.51629,                0.47025,                0.98389,                0.88315,                0.87544,                0.90536,                0.55405,                 1.4841,                0.71526,                 1.5778,               0.006535,               0.006535,               0.006535
                     38,                 0.5133,                0.46624,                0.98211,                 0.8876,                0.86443,                0.91103,                0.56136,                 1.4608,                0.71398,                 1.5175,               0.006436,               0.006436,               0.006436
                     39,                0.50832,                0.45939,                0.97725,                0.86621,                0.88514,                0.92124,                0.57295,                 1.4298,                0.71908,                 1.5102,               0.006337,               0.006337,               0.006337
                     40,                0.51365,                 0.4551,                 0.9816,                0.88876,                  0.866,                0.91005,                0.55758,                 1.4621,                0.72486,                   1.54,               0.006238,               0.006238,               0.006238
                     41,                0.50982,                0.45872,                0.97866,                0.90267,                0.86469,                0.91557,                0.55981,                 1.4532,                 0.7169,                 1.5164,               0.006139,               0.006139,               0.006139
                     42,                0.50131,                0.44627,                0.97319,                0.88561,                0.87306,                0.91467,                0.56184,                 1.4592,                0.72342,                  1.529,                0.00604,                0.00604,                0.00604
                     43,                0.49632,                 0.4422,                 0.9713,                0.89963,                0.86874,                0.91593,                0.56368,                 1.4448,                0.70665,                 1.5203,               0.005941,               0.005941,               0.005941
                     44,                0.49516,                0.44032,                 0.9738,                0.88005,                0.87562,                0.90919,                 0.5567,                 1.4924,                 0.7186,                 1.5573,               0.005842,               0.005842,               0.005842
                     45,                0.49462,                0.43756,                0.97421,                0.88398,                0.87284,                0.91177,                0.56484,                 1.4362,                0.71717,                 1.5024,               0.005743,               0.005743,               0.005743
                     46,                0.48496,                0.43092,                0.96742,                0.88822,                0.86156,                0.91423,                0.56941,                  1.446,                0.70916,                  1.537,               0.005644,               0.005644,               0.005644
                     47,                0.49239,                0.43411,                0.96926,                0.91089,                 0.8593,                0.91999,                0.57017,                  1.449,                0.69479,                 1.5181,               0.005545,               0.005545,               0.005545
                     48,                0.48952,                0.42735,                0.97007,                0.88797,                0.87311,                 0.9126,                0.56469,                 1.4645,                0.70211,                 1.5243,               0.005446,               0.005446,               0.005446
                     49,                0.47476,                0.42224,                0.96638,                0.90118,                0.87601,                0.92477,                0.57167,                 1.4426,                0.68761,                 1.5062,               0.005347,               0.005347,               0.005347
